Date,Advertising,Analytics,Firefox,Chrome,Name,Seven,Eight,Nine,Ten,Eleven 
S05,0,0,0,0,8,0,0,0,0,0
W06,0,2,0,0,8,0,0,0,0,0
S06,0,3,0,0,10,0,0,0,0,0
W07,0,0,1,0,13,0,0,0,0,0
S07,1,4,0,0,17,0,0,0,0,0
W08,1,4,1,0,22,0,0,0,0,0
S08,2,5,2,0,23,0,0,0,0,0
W09,3,6,0,0,16,0,0,0,0,0
S09,0,7,0,0,22,0,0,0,0,0
W10,1,3,0,0,28,0,0,0,0,0
S10,2,14,0,0,36,0,0,0,0,0
W11,2,7,0,0,47,0,0,0,0,0
S11,5,7,0,0,61,0,0,0,0,0
W12,2,10,0,0,57,0,0,0,0,0
S12,8,17,0,0,74,0,0,0,0,0
W13,1,8,0,0,37,0,0,0,0,0
S13,1,10,0,0,47,0,0,0,0,0
W14,3,17,0,1,59,0,0,0,0,0
S14,1,13,1,1,42,0,0,0,0,0
